Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
1/22/2020,Grenada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Guatemala,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Guinea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Guyana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Haiti,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Holy See,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Honduras,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Hungary,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Iceland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,India,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/22/2020,Indonesia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/22/2020,Iran,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Iraq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Ireland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Israel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Italy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Jamaica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Japan,2,NaN,NaN,2,NaN,NaN,NaN,Western Pacific
1/22/2020,Jordan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Kazakhstan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Kenya,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Kosovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
